Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
World,19.2114,73.0149,-2377.04,0.817546,13901300.0,1.3097086919999999e-16
Cladding_PV,5.22322,-71.0371,-2476.02,1.87836,4084.63,3.00913272e-16
TiO2_Coating_PV,3.95078,-74.8959,-2476.19,0.133735,325.372,2.1424346999999998e-17
Gd2O3_Coating_PV,3.84718,-75.2017,-2476.15,0.0160192,222.033,2.56627584e-18
World,3.76791,-75.4059,-2476.12,1.0859,10643300.0,1.7396118e-16
Cladding_PV,-23.394,44.9385,-2467.51,19.1982,4365.81,3.0755516399999998e-15
Cladding_PV,28.638,21.2888,-2278.99,7.2535,20108.0,1.1620107e-15
Cladding_PV,30.3232,16.1216,-2259.87,15.6298,22819.3,2.50389396e-15
Cladding_PV,26.3243,10.2779,-2238.52,6.86429,23227.0,1.099659258e-15
Cladding_PV,25.2383,5.88624,-2216.09,9.43863,23963.6,1.512068526e-15
Cladding_PV,17.3287,17.4095,-2197.11,23.705,22808.6,3.7975409999999996e-15
Cladding_PV,16.7483,28.553,-2177.64,5.94014,21518.1,9.51610428e-16
Cladding_PV,10.1465,36.1628,-2159.05,9.47861,20238.3,1.5184733219999998e-15
Cladding_PV,8.47632,47.332,-2142.67,22.1304,25464.3,3.54529008e-15
Cladding_PV,2.5129,63.3237,-2124.55,7.14272,19188.0,1.144263744e-15
